name,Target,Common name / Synonyms,Developer,Clinical domain,Clinical indication,Development status,Monoclonal Antibody (mAb),Linker,Drug/Payload,Cleavage Mechanism/MOA,Notes,References,Clinical Trials,Drug description,Species,Trade/Property Name,Development Technology,International Nonproprietary Name,INN Proposed / List and Year,INN Number,INN Recommended / List and Year,CAS,UNII (FDA),Expression system,Molecular Formula,Molecular Weight,Patents,Regulatory decisions,Origin clone species,NDC Code,Exact Mass,Additional Find Terms,Specificity target name,Molecular Formula: Description,Application,Regulatory agency status and year,Highlight of Prescribing Information,PubChem Structure,MeSH Unique ID,MeSH Heading,Monoisotopic Mass,Molecular Formula: Biological Sequence,Summary of Product Characterization
ST1,"Sialyl-Thomsen-nouveau antigen (STn or Sialyl-Tn, also known as CD175s)",,Siamab Therapeutics,Oncology | Hematology,"Ovarian, colon, prostate, and pancreatic tumors  ",Late stage preclinical,,,Monomethyl auristatin E (MMAE),,,,,,,,,,,,,,,,,,,,,,,,"ST1 is an antibody-drug conjugate or Sialyl-Thomsen-nouveau antigen (STn or Sialyl-Tn, also known as CD175s)",,,,,,,,,,
ST8176AA1,ERBB2 (Erb-B2 Receptor Tyrosine Kinase 2),ST8176AA1,Alfasigma,Oncology,ErbB2+ solid tumors,Preclinical,Trastuzumab. Trastuzumab was partially reduced with tris [2-carboxyethyl] phosphine (TCEP).,A maleimide-thiol linker,"ST7464AA1, the active form of the prodrug HDAC (Histone deacetylase) inhibitor ST7612AA1  The average drug/antibody ratio (DAR) was 4.5 as measured by hydrophobic interaction chromatography (HIC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STI-6129  | LNDS1001 | CD38-077,CD38,STI-6129 LNDS1001,Sorrento Therapeutics,,Advanced relapsed and/or refractory systemic amyloid light chain (AL) amyloidosis,Phase I,CD38 specific antibody,A non-polyethylene glycol linker ,"Duostatin 5.2 (Duo.5.2), a microtubule inhibitor. This is a  A novel cytotoxic payload derived from monomethyl auristatin F (MMAF) ",,,Preclinical Development of an Anti-CD38 Antibody-Drug Conjugate for Treatment of Hematological Malignancies.| https://ashpublications.org/blood/article/134/Supplement_1/5621/425467/Preclinical-Development-of-an-Anti-CD38-Antibody,Anti-CD38-Duostatin 5.2 ADC for AL Amyloidosis - NCT04316442 https://clinicaltrials.gov/ct2/show/NCT04316442,"STI-6129, also known as LNDS1001, is a CD38 specific antibody identified from Sorrento Therapeutics' fully human G-MAB™ antibody library, conjugated to the company;s proprietary drug payload Duostatin 5 site-specific C-LOCK conjugation technology.",,,,,,,,,,,,,https://patents.justia.com/patent/20180360985,,,,,,,,,,,,,,,,
STRO-001 (Anti-CD74-ADC),CD74; a type II transmembrane glycoprotein involved in the formation and transport of MHC class II protein. CD74 is rapidly internalized and highly expressed in many B-cell malignancies with limited expression in normal tissues.,STRO-001; Anti-CD74-ADC,Sutro Biopharma,Oncology,"Multiple myeloma (MM),  Diffuse large B-cell lymphoma; Mantle cell lymphoma",Preclinical,a p-azido-methyl-phenylalanine (pAMF)-containing anti-CD74 aglycosylated human IgG1 antibody (SP7219) ,A non-cleavable dibenzocyclooctyne (DBCO) linker ,Maytansoid  A drug-antibody ratio (DAR) of 2,,"This drug is being developed using Sutro's proprietary cell-free protein synthesis platform, Xpress CF   IND Submission expected at the end of 2017 and clinical testing of in the first quarter of 2018.",,,,Homo sapiens,,Sutro’s Xpress CF+™ platform ,,,,,,,,,,,,,,,,,,,,,,,,,,
SYD1875 | Anti 5T4 ADC SYD1875,"5T4, a 72 kD, heavily N-glycosylated proteins with several leucine-rich repeats which are often associated with protein-protein interactions. The protein is expressed by many different cancers but rarely in normal adult tissues.",Anti 5T4 ADC SYD1875,Synthon Biopharmaceuticals (now Byondis),Oncology,Solid tumors,"Phase I  A first-in-human phase I study with SYD1875 (ADC) comprising of a humanized IgG1 monoclonal antibody directed against the 5T4 oncofetal antigen covalently conjugated to a duocarmycin-based linker-drug. This study includes a dose-escalation part (Part 1) in which the maximum tolerated dose (MTD) and recommended dose for expansion (RDE) will be determined, and an expansion part (Part 2) to evaluate efficacy and safety in specific patient cohorts. (update March 2020)",humanized IgG1 5T4 oncofetal antibody,Cleavable valine-citrulline-seco (vc-seco),Duocarmycin analogues  https://www.adcreview.com/duocarmycin-analogues/,"When SYD1875 binds to the targeted cancer cell, it will be internalized by the cell. After proteolytic cleavage of the linker, the toxin will be split off in the cell and the cancer cell will be killed.",,,A First-in-human Dose-escalation and Expansion Study With the Antibody-drug Conjugate SYD1875 - NCT04202705 https://clinicaltrials.gov/ct2/show/NCT04202705  ,SYD1875 is an ADC comprising of a humanized IgG1 antibody directed against the 5T4 oncofetal antigen covalently conjugated to a duocarmycin-based linker-drug.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacituzumab govitecan | IMMU-132 | hRS7-SN38,"TACSTD2 | tumor-associated calcium signal transducer 2) or EGP1 | M1S1, Gastrointestinal tumor-associated antigen GA7331, Pancreatic carcinoma marker protein GA733-1, epithelial glycoprotein-1, EGP-1, trophoblast antigen-2, cell surface glycoprotein Trop-2, TROP2","IMMU-132, hRS7-SN-38; hRS7-SN-38-ADC; hRS7-[CL-SN-38] hrS7-SN-38",Immunomedics,Oncology,"Metastatic Solid tumor; epithelial cancers | bladder, colorectal, head and neck, kidney, NSCLC, SCLC, ovary, pancreas, prostate, gastrointestina","Phase II, Phase III",IgG1 - kappa,Carbonate,Camptothecin analog (SN38) Irinotecan metabolite 7-ethyl-10 hydroxycamptothecin,pH-sensitive cleavage /  DNA double strand break ,,,NCT01631552 - https://clinicaltrials.gov/ct2/show/NCT01631552  NCT02161679 - https://clinicaltrials.gov/ct2/show/NCT02161679,http://adc.expert/1LlPvBb,Humanized (VH 85.7%) (VL 82.2%),,,Sacituzumab govitecan,113 | 2015,10097,75 | 2016,1491917-83-9,UNII-M9BYU8XDQ6,Sp2/0 mouse hybridoma cells,C76-H104-N12-O24-S,1601.7836,,"FDA Orphan drug designation (May 29, 2014) in Pancreatic cancer",Mus musculus,,,,,,,,,,C000608132,"Camptothecin / *analogs & derivatives;  *Immunoconjugates; *Antibodies, Monoclonal, Humanized",,,
Samrotamab vedotin | ABBV-085 | PR-1498487-MMAE,"LRRC15 (leucine-rich repeat-containing protein 15, leucine-rich repeat induced by beta-amyloid homolog); LIB [1]","Anti-huLRRC15 antibody-drug Conjugate anti-huLR C15 ADC ABBV-085, PR-1498487-MMAE PR-1498487 PAB-MMAE","AbbVie, Inc.",Oncology,Solid tumors in which huLRRC15 is expressed in the tumor stromal microenvironment.,Phase I  A phase I an open-label dose escalation study designed to evaluate the safety and pharmacokinetics of samrotamab vedotin and determine the recommended Phase I dose (as monotherapy or in combination with standard therapies) in subjects with advanced solid tumors (update April 2019),Immunoglobulin G1-kappa  Humanized and chimeric monoclonal antibody.  IgG1 - kappa anti-LRRC15-targeting antibody  ,Cleavable maleimidocaproyl-valyl-citrullinyl-p- aminobenzyloxycarbonyl (mc-val-cit-PABC),Monomethyl auristatin E (MMAE)   On an average of 2 cysteinyl.,,"During the 55th Annual Meeting of the American Society of Clinical Oncology (June 2019) investigators reported efficacy, pharmacokinetic and adverse events data from a phase I trial in solid tumors (in late-stage inoperable/unresectable disease).","[1] Saunders LR, Bankovich AJ, Anderson WC, et al. A DLL3-targeted antibody-drug conjugate eradicates high-grade pulmonary neuroendocrine tumor-initiating cells in vivo. Sci Transl Med. 2015;7(302):302ra136.","ABBV-085, an Antibody Drug Conjugate, in Subjects With Advanced Solid Tumors - NCT02565758 https://clinicaltrials.gov/ct2/show/NCT02565758",https://www.adcreview.com/abbv-085-drug-description/,Chimeric humanized,,,Samrotamab vedotin,118 | 2017,10791,80 | 2017,2052649-42-8,SY5HF6N5MB,CHO (Chinese Hamster Ovary) cells,,,"Patent: Anti-huLRRC15 Antibody-drug Conjugate and Methods for their Use  (WO 2017095808 A1). Publication date: Jun 8, 2017",,,,,,,,,,,,,,,,
Satoreotide tetraxetan,,,,,,,,,,,,,,,,,,Satoreotide tetraxetan,118 | 2017,,,,,,,,,,,,,,,,,,,,,,,"S 2 , S 7 -cyclo[4-chloro- N -{[4,7,10-tris(carboxymethyl)- 1,4,7,10-tetraazacyclododecan-1-yl]acetyl}- L -phenylalanyl- D -cysteinyl-4-[(4 S )-2,6-dioxo-1,3-diazinane-4- carboxamido]- L -phenylalanyl-4-(carbamoylamino)- D - phenylalanyl- L -lysyl- L -threonyl- L -cysteinyl- D -tyrosinamide]  antineoplastic",
Satumomab Penditide | OncoScint® CR/OV,"Tumor-associated antigen, T AG-72, which is found in many adenocarcinomas.",CYT-099 CYT-103 Indium In-111 satumomab pendetide Indium (111In) satumomab pendetide Indium In 111 satumomab pendetide Indium-111 satumomab pendetide,Cytogen Corporation (Primary) Chiron Theraoeutics (Europe) Knoll Pharmaceuticals (Europe)  Manufacturer: Lonza Biologics,Oncology,Colorectal cancer Ovarian Cancer,Originally approved in 1992  Withdrawn in December 2002 and complete development stopped in 2006.,B72.3 (CYT-099),DTPA as a linker for the added In-111.   Site-specific conjugation of a linker-chelator to the oxidized oligosaccharide component of the B72.3 molecule (CYT-103).,Indium-111,"Satumomab Pendetide is an antibody which is attached to the chelator pentetic acid (DTPA) linked to the tripeptide glycine (G) – L-tyrosine (Y) – L-lysine (K), which chelates Indium 111. Satumomab pendetide binds selectively to cell-surface TAG-72 expressed on colorectal tumors. ",,"[1] Bohdiewicz PJ. Indium-111 satumomab pendetide: the first FDA-approved monoclonal antibody for tumor imaging. J Nucl Med Technol. 1998;26(3):155-171.  http://tech.snmjournals.org/content/26/3/155.full.pdf [2] Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6.  [3] Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34.  [4] Muxi A, Pons F, Vidal-Sicart S, Setoain FJ, Herranz R, Novell F, Fernandez RM, Trias M, Setoain J: Radioimmunoguided surgery of colorectal carcinoma with an 111In-labelled anti-TAG72 monoclonal antibody. Nucl Med Commun. 1999 Feb;20(2):123-30.  [5] Surwit EA, Childers JM, Krag DN, et al. Clinical assessment of 111In-CYT-103 immunoscintigraphy in ovarian cancer. Gynecol Oncol. 1993;48(3):285-292. doi:10.1006/gyno.1993.1051 [6] Corman ML, Galandiuk S, Block GE, et al. Immunoscintigraphy with 111In-satumomab pendetide in patients with colorectal adenocarcinoma: performance and impact on clinical management. Dis Colon Rectum. 1994;37(2):129-137. doi:10.1007/BF02047534",,,,OncoScint® CR/OV,,Satumomab Penditide,,,,138955-27-8,7V9926378A,,Protein Chemical Formula C6268H9708N1666O1971S48,141478.9 Da (Protein),,,,,,,,,Radionuclide tumor imaging,,,,,,,,
Serclutamab Talirine | ABBV-321,"EGFR (epidermal growth factor receptor, receptor tyrosine-protein kinase erbB-1, ERBB1, HER1, HER-1, ERBB)",ABBV-321 Anti-Egfr/pbd antibody-drug conjugate ABBV-321,AbbVie,Oncology,Advanced solid tumors associated with overexpression of the epidermal growth factor receptor (EGFR) or its ligands.,"Phase I  A Phase I, dose-escalation study to determine the maximum tolerated dose (MTD) and the recommended phase two dose (RPTD))","Immunoglobulin G1-kappa, affinity-matured humanized antibody (ABT-806 AM1) with a higher affinity for EGFR (epidermal growth factor receptor, receptor tyrosine-protein kinase erbB-1, ERBB1, HER1, HER-1, ERBB).",A cathepsin-cleavable maleimidocaproyl-valine-alanine (MC-Val-Ala) type linker,Pyrrolobenzodiazepine (PDB) dimer SGD-1882 with a fixed DAR of 2.0,,"Talirine  S239,S239''-bis[(211aS,811aS,12S,15S,233RS)-14,27,87-trimethoxy-12-methyl-25,85,11,14,17,232,235-heptaoxo-15-(propan-2-yl)-25,211a,85,811a-tetrahydro-21H,81H-3,7-dioxa-10,13,16-triaza-2(2,8),8(8,2)-bis(pyrrolo[2,1-c][1,4]benzodiazepina)-23(1)-pyrrolidina-1(1),9(1,4)-dibenzenatricosaphan-233-yl]",,"A Study Evaluating the Safety, Pharmacokinetics, and Anti-tumor Activity of ABBV-321 in Subjects With Advanced Solid Tumors Associated With Overexpression of the Epidermal Growth Factor Receptor (EGFR) - NCT03234712  NCT03234712 - https://adc.expert/2MKZSp2","ABBV-321 targets and binds to EGFR on tumor cell surfaces. Following receptor internalization and lysosome-mediated cleavage, the cytotoxic PBD moiety is released. In turn, the imine groups of the PBD moiety bind to the N2 positions of guanines on opposite strands of DNA. This induces DNA strand breaks, inhibits DNA replication, leads to G2/M cell cycle arrest, induces cell death and inhibits the proliferation of EGFR-overexpressing tumor cells. EGFR, a receptor tyrosine kinase (RTK) that is overexpressed by a variety of cancers, plays a key role in tumor cell proliferation and survival.",Chimeric Humanized,,,Serclutamab talirine,120 / 2017,10959,82 | 2019 ,2140174-56-5,7W0O278T12,CHO (Chinese Hamster Ovary) cells,,,,,,,,,,,,,,,,,,,
Sirtratumab vedotin  | ASG-15ME,"SLTRK6 (SLIT and NTRK like family member 6, ""SLIT and NTRK-like family, member 6"") ","AGS-15E, AGS-15vcMMAE, AGS15C –SGD-1006, AGS15E, ASG-15ME, Ha15-10ac.1vcMMAE, Ha15-10ac12vcMMAE","Originated by Agensys, Ligand Pharmaceuticals and Seattle Genetics   Co-developed by Astellas/Agensys and Seattle Genetics",Oncology / Hematology,Bladder Cancer Metastatic urothelial cancer,Phase I,"IgG2 - kappa anti-[Homo sapiens SLITRK6 (SLIT and NTRK like family member 6)], Homo sapiensmonoclonal antibody ",A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker   ,Monomethyl auristatin E (MMAE)   On an average of 4 cysteinyl ,Enzyme Cleavable | a cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker   An average of 4 cysteinyl,,"Morrison K, Challita-Eid PM, Raitano A, et al. Development of ASG-15ME, a Novel Antibody-Drug Conjugate Targeting SLITRK6, a New Urothelial Cancer Biomarker. Mol Cancer Ther. 2016;15(6):1301-1310. doi:10.1158/1535-7163.MCT-15-0570",ASG-15ME is a Study of Escalating Doses of AGS15E Given as Monotherapy in Subjects With Metastatic Urothelial Cancer - NCT01963052 https://clinicaltrials.gov/ct2/show/NCT01963052,"Sirtratumab vedotin is an antibody drug conjugate (ADC) that delivers a small molecule microtubule-disrupting agent, monomethyl auristatin E (MMAE), to tumor cells expressing SLITRK6. ",Human | Homo sapiens,,,Sirtratumab vedotin ,117 | 2017,10467,,1824663-83-3,E58B6OP5QG,CHO (Chinese Hamster Ovary) cells,,ESTIMATED 146000 Da (average) ,,,,,,,,,,,,,,,,,
Sofituzumab vedotin | Anti-MUC16 ADC | RG7458 | DMUC5754A,"Mucin 16 (Mucin 16, MUC-16, cancer antigen 125, CA125) ",DMUC5754A,"Roche, F. Hoffmann-La Roche Ltd. (Basel Switzerland)",Oncology,"Ovarian cancer, fallopian tube cancer, Pancreatic cancer, Peritoneal cancer","Phase I   Status:  - Phase I Discontinued for Peritoneal cancer (Late-stage disease, Second-line therapy or greater) in USA (January 2015 - Phase I Discontinued for Pancreatic cancer (Inoperable/Unresectable) in USA (January 2015) - Phase I Discontinued for Ovarian cancer (Late-stage disease, Second-line therapy or greater) in USA (January 2015)",IgG1 - kappa,A cleavable maleimidocaproyl-valyl-citrullinyl-p-aminobenzyloxycarbonyl (mc-val-cit-PABC) type linker ,Monomethyl auristatin E (MMAE),Tubulin polymerase inhibitor; tubulin inhibitor; apoptosis stimulants; immunoglobulin kappa-chain modulators; mitosis inhibitors.,,,http://adc.expert/1aF0qFO,,Humanized,,,Sofituzumab vedotin,110 | 2013,9861,72 | 2014,1418200-58-4,2X3CKG601L,,,1349.7134,,,,,,,,C68-H106-N11-O15-S,,,,,,,,,
SΤRO-002,FolRα (Folate receptor alpha) which is overexpressed in platinum-resistant ovarian cancer and other solid tumors,STRO-001,Sutro Biopharma,Oncology,Solid Tumors; Ovarian and Endometrial Carcinoma,IND Enabling ,Anti-FolRa human IgG1 antibody (SP8166),The SC239 drug-linker is conjugated via a cleavable valine citrulline p-aminobenzyl carbamate linker functionalized with dibenzocyclooctyne (DBCO). ,"A tubulin-targeting 3-aminophenyl hemiasterlin payload, SC209, which has potent cytotoxic activity and is a weak substrate for efflux pumps.",Proprietary cleavable drug-linker (SC239),Four non-natural amino acid p-azidomethyl phenylalanine (pAMF) residues are incorporated into SP8166 at two defined sites on each heavy chain.,"Li X, Abrahams C, Zhou S, Krimm S, Henningsen R, Stephenson H, Hanson J, et al.  Abstract 1782: Discovery and activity of STRO-002, a novel ADC targeting folate receptor alpha for ovarian and endometrial cancer Cancer Res July 1 2018 (78) (13 Supplement) 1782; DOI: 10.1158/1538-7445.AM2018-1782 http://cancerres.aacrjournals.org/content/78/13_Supplement/1782",,"STRO-002 contains the anti-FolRa human IgG1 antibody (SP8166) which was discovered and optimized using a Fab ribosome display selection and screening platform based on Sutro's proprietary cell-free protein synthesis platform, Xpress CF+ system. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAK-164,The extracellular domain of guanylyl cyclase C (GCC; GUCY2C)).  GCC is a transmembrane receptor normally found on intestinal cells and dopamine neurons in the brain. This receptor is overexpressed on the surface of certain tumor cells.,TAK-164 TAK164 Anti-GCC ADC Anti-GCC antibody-drug conjugate,Takeda (listed as Millennium Pharmaceuticals) ImmunoGen,Oncology,"Solid tumors - Gastrointestinal Neoplasms; - Esophageal, Stomach, Pancreas, Colon Neoplasms;  - Malignant Tumors of Digestive Organ;  - Advanced Gastrointestinal Malignancies",Phase I  A phase I study is to evaluate the safety of TAK-164 and to determine the maximum tolerated dose (MTD) and/or recommended phase II dose (RP2D) and schedule. (Upload: April 2020),"An anti-GCC antibody.  A full-length, fully human IgG1 antibody (mAb) directed towards the extracellular domain of guanylyl cyclase C (GCC).",Peptide-linked  A central substituted phenyl spacer ,An indolino-benzodiazepine (IGN) dimer; a DNA alkylator DGN549 (also known as IGN-P1),,"indolino-benzodiazepine (IGN)  drugs alkylate DNA through the single imine moiety present in the dimer in contrast to the pyrrolobenzodiazepine dimer drugs, such as talirine and tesirine, which contain two imine moieties per dimer and cross-link DNA","Adnan O. Abu-Yousif, Bret M. Bannerman, Donna Cvet, Melissa Gallery, Michelle L. Ganno, Michael D. Smith, Katharine C. Lai, Thomas A. Keating, Jayaprakasam Bolleddula, Bradley Stringer, Mark G. Qian, Afrand Kamali, Kurt Eng, Secil Koseoglu, Cindy Q. Xia, O. Petter Veiby. TAK-164, a GCC-targeted antibody-drug conjugate (ADC) for the treatment of colorectal cancers and other GI malignancies [abstract]. In: Proceedings of the AACR-NCI-EORTC International Conference: Molecular Targets and Cancer Therapeutics; 2017 Oct 26-30; Philadelphia, PA. Philadelphia (PA): AACR; Mol Cancer Ther 2018;17(1 Suppl):Abstract nr B120.",A Study of TAK-164 in Participants With Advanced Gastrointestinal (GI) Cancer Expressing Guanylyl Cyclase C (GCC) - NCT03449030,"TAK-164 is a full-length, fully-human immunoglobulin G1 (IgG1) monoclonal antibody (mAb) directed against the extracellular domain of guanylyl cyclase C (GCC; GUCY2C), conjugated using the peptide-linked indolino-benzodiazepine DNA alkylator DGN549 (IGN-P1), with potential antineoplastic activity. Upon intravenous administration of TAK-164, the antibody moiety selectively binds to GCC-expressing cells. Upon antibody/antigen binding and internalization, the cytotoxic DGN549 payload is released and binds to guanine residues on opposing strands of DNA. This induces DNA strand breaks, inhibits DNA replication, leads to G2/M cell cycle arrest, induces cell death, and inhibits the proliferation of GCC-expressing cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGM-001,Unknown,TGM-001,"Targetome SA, a spin-off from the University of Liège (ULg), Belgium.",Oncology,,Lead optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGM-002,Unknown,TGM-002,"Targetome SA, a spin-off from the University of Liège (ULg), Belgium.",Oncology,,Lead Optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGM-003,Unknown,TGM-003,"Targetome SA, a spin-off from the University of Liège (ULg), Belgium.",Oncology,,Lead Optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGM-004,,TGM-004,"Targetome SA, a spin-off from the University of Liège (ULg), Belgium.",Oncology,,Lead Optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGM-005,Unknown,TGM-005,"Targetome SA, a spin-off from the University of Liège (ULg), Belgium.",Oncology,,Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR1801-ADC | MT-8633,"c-Met, also known as hepatocyte growth factor receptor (HGFR), a receptor tyrosine kinase that is overexpressed or mutated in many tumor cell types and plays a key role in tumor cell proliferation, survival, invasion, metastasis, and tumor angiogenesis.",TR1801-ADC MT-8633,Tanabe Research Laboratories USA in collaboration with Open Innovation Partners and MedImmune/AstraZeneca,Oncology,"Sold tumors; Lung, colorectal, and gastric cancers","First-in-human, Phase I, multiple dose-dose escalation studies","A humanized, IgG2 monoclonal antibody, hD12; nonagonistic cMet targeting antibody.",Cleavable (Val‐Ala),Pyrrolobenzodiazepine (PBD) toxin-linker tesirine (SG3249),site‐specific cMet hD12–tesirine conjugate was named TR1801‐ADC.,The Pyrrolobenzodiazepine dimer (PBD) toxins were developed by in  collaborative partner MedImmune/AstraZeneca via its proprietary Spirogen technology and licensed to Tanabe Research Laboratories USA.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6944112/,TR1801-ADC in Patients With Tumors That Express c-Met | https://clinicaltrials.gov/ct2/show/NCT03859752,"TR1801-ADC or MT-8633 is a site‐specific cMet hD12–tesirine conjugate. Upon antibody/antigen binding and internalization, the imine groups of the PBD moiety bind to the N2 positions of guanines on opposite strands of tumor cell DNA. This induces interstrand cross-links in the minor groove of DNA and inhibits DNA replication, which inhibits the proliferation of c-Met-expressing cells. ",,,,,,,,,,Chinese hamster ovary (CHO) cell line,,,,,,,,,,,,,,,,,,,
TRPH-222 (CD22-4AP),"CD22, a B-cell-restricted sialogycoprotein that is an important modulator of B-cell signaling and survival. CD22 is expressed on nearly all B-cell malignancies and is a validated ADC target.",TRPH-222 (CD22-4AP) Anti-CD22 Antibody-drug Conjugate TRPH-222 ANTI-CD22 ADC TRPH-222 TRPH222,"Triphase Accelerator Corporation, in collaboration with Catalent.  The drug was originally developed by Catalent Biologics’ subsidiary Redwood Bioscience. ",Oncology | Hematology,Non-Hodgkin’s lymphoma Acute lymphoid leukemia B-cell Lymphoma,Phase I,Site-specific modified humanized antibody ,A 4AP non-cleavable linker.,Site-specific conjugation of a maytansine payload.,,,https://www.adcreview.com/news/interim-results-of-phase-i-clinical-trial-of-trph-222-in-r-r-non-hodgkins-lymphoma-confirms-safety-with-early-signs-of-efficacy/,Study of TRPH-222 in Patients With Relapsed and/or Refractory B-Cell Lymphoma - NCT03682796,"TRPH-222 (CD22-4AP) is an ADC composed of an anti-CD22 humanized monoclonal antibody site-specifically conjugated to, via formylglycine (FG) residues and a protease insensitive 4AP linker, a cytotoxic microtubule-targeting maytansinoid payload.   The antibody moiety of TRPH-222 binds to B-cell-specific CD22 receptors and is rapidly internalized, thereby delivering the payload intracellularly. Upon proteolytic cleavage, the maytansinoid payload binds to tubulin, disrupting microtubule assembly/disassembly dynamics, inhibiting both cell division and tumor cell proliferation.   The site specific and stable conjugation to the payload allows for a higher drug-to-antibody ratio (DAR) and an enhanced therapeutic index. ",,,Hydrazino-Pictet-Spengler (HIPS™) chemistry and proprietary 4AP linker | SMARTag® technology (Catalent).,,,,,,00NT1ETN9K,,,,,,,,,,,,,,,,,,,,
Tabituximab Barzuxetan  | OTSA-101-DTPA,"FZD10 (frizzled class receptor 10, frizzled family receptor 10, Frizzled-10, CD350), a 7-transmenbrane receptor, member of the Wnt signalling receptor family.","OTSA-101-DTPA OTSA101-DTPA-90Y, OTSA101-SS01",OncoTherapy Science (Japan) Centre Leon Berard,Oncology,Synovial Sarcoma,During the 2017 annual meeting of the (53rd) American Society of Clinical Oncology efficacy and adverse events data from a phase I trial in synovial sarcoma were presented.,IgG1 - kappa Tabituximab,,"Barzuxetan, p-SCN-Bn-CHX-A""-DPTA, a DPTA chelator derivative ",Antibody-dependent cell cytotoxicity (ADCC); Wnt signalling pathway inhibitor,"The antibody OTSA101 underwent the Phase I clinical trial in synovial sarcoma, under the initiative of Professor Jean-Yves Blay.",,"Phase I Study of Radiolabeled OTSA101-DTPA in Patients With Relapsed or Refractory Synovial Sarcoma - NCT04176016 https://www.clinicaltrials.gov/ct2/show/NCT04176016  First in Man Study Investigating the Biodistribution, the Safety and Optimal Recommended Dose of a New Radiolabelled Monoclonal Antibody Targeting Frizzled Homolog 10 (SYNFRIZZ) - NCT01469975 | https://clinicaltrials.gov/ct2/show/NCT01469975","Non-radiolabeled OTSA101 antibody has only weak antagonistic activity on Synovial Sarcoma cell growth. However, Yttrium 90-radiolabeled OTSA101 (OTSA101-DTPA-90Y) showed significant antitumor activity following a single intravenous injection in mouse xenograft model.",Chimeric,,,Tabituximab Barzuxetan,119 | 2018,10232,81 | 2019,1612758-88-9,3K3IOQ7Q1K,CHOK1SV (expresses glutamine synthetase (GS) endogenously) cells,,,,,Mus musculus (original clone pieces: mAb92-13),,,,,,,,,,,,,,
Tacatuzumab Tetraxetan,,,,,,,Tacatuzumab,,"Tetraxetan (a chelator for yttrium-90, a radioisotope)",,,,,"Tacatuzumab tetraxetan is a humanized antibody conjugated with a radioisotope. The antibody itself, tacatuzumab, is conjugated with tetraxetan.",Humanized,,,Tacatuzumab Tetraxetan,2017 | 118,,,,,,,,,,,,145 kg/mol,,,,,,,,,,,,
